,city,city_ascii,city_alt,lat,lng,country,iso2,iso3,admin_name,admin_name_ascii,admin_code,admin_type,capital,density,population,population_proper,ranking,timezone,same_name,id
1770352,Lincent,Lincent,Lijsem,50.7167,5.0333,Belgium,BE,BEL,Wallonia,Wallonia,BE-WAL,region,minor,306.2,3292.0,3292.0,3,Europe/Brussels,False,1056225763
1770353,Fexhe-le-Haut-Clocher,Fexhe-le-Haut-Clocher,,50.6667,5.4,Belgium,BE,BEL,Wallonia,Wallonia,BE-WAL,region,,169.5,3263.0,3263.0,3,Europe/Brussels,False,1056551879
1770354,Burdinne,Burdinne,,50.5833,5.0667,Belgium,BE,BEL,Wallonia,Wallonia,BE-WAL,region,,92.5,3236.0,3236.0,4,Europe/Brussels,False,1056248732
1770355,Érezée,Erezee,,50.2917,5.5583,Belgium,BE,BEL,Wallonia,Wallonia,BE-WAL,region,,43.8,3228.0,3228.0,4,Europe/Brussels,False,1056714814
1770356,Onhaye,Onhaye,,50.25,4.8333,Belgium,BE,BEL,Wallonia,Wallonia,BE-WAL,region,,49.5,3201.0,3201.0,4,Europe/Brussels,False,1056329912
1770357,Ename,Ename,Eename,50.85,3.6167,Belgium,BE,BEL,Flanders,Flanders,BE-VLG,region,,456.3,3162.0,3162.0,3,Europe/Brussels,False,1056990068
1770358,Erwetegem,Erwetegem,,50.8546,3.815,Belgium,BE,BEL,Flanders,Flanders,BE-VLG,region,,332.8,3128.0,3128.0,3,Europe/Brussels,False,1056223884
1770359,Machelen,Machelen,,50.9594,3.4861,Belgium,BE,BEL,Flanders,Flanders,BE-VLG,region,,245.1,3123.0,3123.0,3,Europe/Brussels,True,1056662887
1770360,Stoumont,Stoumont,Staumont,50.4167,5.8,Belgium,BE,BEL,Wallonia,Wallonia,BE-WAL,region,,28.6,3104.0,3104.0,3,Europe/Brussels,False,1056097637
1770361,Berloz,Berloz,,50.7,5.2167,Belgium,BE,BEL,Wallonia,Wallonia,BE-WAL,region,,212.0,3080.0,3080.0,3,Europe/Brussels,False,1056399130
1770362,Bouwel,Bouwel,,51.1681,4.7386,Belgium,BE,BEL,Flanders,Flanders,BE-VLG,region,,472.6,3067.0,3067.0,3,Europe/Brussels,False,1056646768
1770363,Rupelmonde,Rupelmonde,,51.1261,4.2908,Belgium,BE,BEL,Flanders,Flanders,BE-VLG,region,,443.0,3065.0,3065.0,3,Europe/Brussels,False,1056388347
1770364,Wellin,Wellin,,50.0817,5.1133,Belgium,BE,BEL,Wallonia,Wallonia,BE-WAL,region,,45.4,3064.0,3064.0,3,Europe/Brussels,False,1056672610
